INFO:     Started server process [5100]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8010 (Press CTRL+C to quit)
2026-09-10 14:37:47,463 | INFO | ProjectRoutes | Created project f8dcc57a: CALM
2026-09-10 14:37:58,789 | INFO | ProjectRoutes | Ingested Metro_SAP_CALM_Proposal.pptx → f8dcc57a (source, 15359875 bytes)
2026-09-10 14:37:58,794 | INFO | ProjectRoutes | Chunking started in background for 6581c97e
2026-09-10 14:37:58,804 | INFO | ChunkingPipeline | Processing Metro_SAP_CALM_Proposal.pptx (project=f8dcc57a, file=6581c97e)
2026-09-10 14:38:26,228 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:38:26,233 | INFO | openai._base_client | Retrying request to /chat/completions in 0.494306 seconds
2026-09-10 14:38:28,070 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:38:28,076 | WARNING | ChunkingPipeline | Vision describe failed for 'PPTX: Metro_SAP_CALM_Proposal.pptx, Slide 1 image: Picture 2': Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:38:30,302 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:38:30,308 | INFO | openai._base_client | Retrying request to /chat/completions in 0.471380 seconds
2026-09-10 14:38:31,159 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:38:31,164 | WARNING | ChunkingPipeline | Vision describe failed for 'PPTX: Metro_SAP_CALM_Proposal.pptx, Slide 6 image: Graphic 2': Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:38:32,337 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:38:32,343 | INFO | openai._base_client | Retrying request to /chat/completions in 0.379480 seconds
2026-09-10 14:38:33,573 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:38:33,579 | WARNING | ChunkingPipeline | Vision describe failed for 'PPTX: Metro_SAP_CALM_Proposal.pptx, Slide 7 image: Picture 4': Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:38:34,359 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:38:34,365 | INFO | openai._base_client | Retrying request to /chat/completions in 0.404184 seconds
2026-09-10 14:38:35,155 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:38:35,157 | WARNING | ChunkingPipeline | Vision describe failed for 'PPTX: Metro_SAP_CALM_Proposal.pptx, Slide 7 image: Picture 2': Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:38:35,512 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:38:35,519 | INFO | openai._base_client | Retrying request to /chat/completions in 0.410122 seconds
2026-09-10 14:38:36,274 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:38:36,281 | WARNING | ChunkingPipeline | Vision describe failed for 'PPTX: Metro_SAP_CALM_Proposal.pptx, Slide 7 image: Picture 11': Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:38:36,283 | ERROR | ChunkingPipeline | Vision circuit breaker tripped after 5 failures — disabling vision for the rest of this run
2026-09-10 14:38:36,289 | INFO | ChunkingPipeline | PPTX Metro_SAP_CALM_Proposal.pptx: 8 slides, 0 image(s) described
2026-09-10 14:38:36,729 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:38:36,730 | INFO | openai._base_client | Retrying request to /chat/completions in 0.382399 seconds
2026-09-10 14:38:37,479 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:38:37,485 | WARNING | ChunkingPipeline | Batch LLM keyword extraction failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}} — falling back to local
2026-09-10 14:38:37,492 | INFO | ChunkingPipeline | Generating embeddings for 8 chunks from Metro_SAP_CALM_Proposal.pptx …
2026-09-10 14:38:40,485 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:38:40,488 | INFO | openai._base_client | Retrying request to /embeddings in 0.447513 seconds
2026-09-10 14:39:14,682 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:39:39,969 | INFO | openai._base_client | Retrying request to /embeddings in 0.951778 seconds
2026-09-10 14:39:41,789 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:39:41,795 | WARNING | ChunkingPipeline | Embedding generation skipped for Metro_SAP_CALM_Proposal.pptx: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}} — chunks saved without embeddings, call /embed-chunks to backfill
2026-09-10 14:39:41,796 | INFO | ChunkingPipeline | Produced 8 chunks from Metro_SAP_CALM_Proposal.pptx (keywords via LLM batch (20/call))
2026-09-10 14:39:41,800 | INFO | ChunkingPipeline | Saved 0 chunks to C:\Users\Suraj.mm1\Downloads\docgenplatform-feature-doc-quality-fixes-sohan\orchestration\brd_convo_app\backend\app\uploads\f8dcc57a\chunks.json
2026-09-10 14:39:41,804 | INFO | ChunkingPipeline | Saved 8 chunks to C:\Users\Suraj.mm1\Downloads\docgenplatform-feature-doc-quality-fixes-sohan\orchestration\brd_convo_app\backend\app\uploads\f8dcc57a\chunks.json
2026-09-10 14:40:06,852 | INFO | app.image_extractor | Extracted 60 images from pptx Metro_SAP_CALM_Proposal.pptx
2026-09-10 14:40:06,855 | INFO | app.image_extractor | Deduped 60 → 59 images from Metro_SAP_CALM_Proposal.pptx before vision
2026-09-10 14:40:07,974 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:40:07,975 | INFO | openai._base_client | Retrying request to /chat/completions in 0.463826 seconds
